,Total_Unemployed,Man_Unemployed,Woman_Unemployed,f_Total_graduate,f_Man_graduate,f_Woman_graduate,Frequency_Saude,f_Police_Office,f_Bike_Lanes,f_Museums,f_High_School,f_Parks,f_College,total_of_Infrastructures
Total_Unemployed,1.0,0.9900412206387119,0.9767699630984068,-0.930654366030586,-0.9347357980811292,-0.9214736955667034,-0.41154994357358543,-0.31651807646733987,-0.48440823653139825,-0.17948982487694906,-0.327100756228601,-0.555458480401983,-0.17191070841659845,-0.6044536736522893
Man_Unemployed,0.9900412206387119,1.0,0.9371226917985411,-0.9101828007003104,-0.9169756769795538,-0.8985744073178351,-0.44480116460956964,-0.31058343697843266,-0.4661804534324625,-0.26580299985636163,-0.2928547527599128,-0.5288708064086025,-0.18694602287239975,-0.596109334008686
Woman_Unemployed,0.9767699630984068,0.9371226917985411,1.0,-0.9246648661027596,-0.9242876497534284,-0.9197332895291727,-0.34337056843570113,-0.32089387606846254,-0.4938821882687121,-0.052264709855884786,-0.36348005461629285,-0.5752719164316694,-0.13737920190607159,-0.5954773931267159
f_Total_graduate,-0.930654366030586,-0.9101828007003104,-0.9246648661027596,1.0,0.9966412185622513,0.9973359575685241,0.39668031412360644,0.2650223581014107,0.5927181495193254,0.10706920853638766,0.23890574459509437,0.6139454694529033,0.1320547869807288,0.6919646576534393
f_Man_graduate,-0.9347357980811292,-0.9169756769795538,-0.9242876497534284,0.9966412185622513,1.0,0.9880218230675797,0.4132034043129789,0.2555945223214429,0.5848127094681134,0.1355600252719882,0.2536162264124058,0.6230960485457431,0.15518103865478536,0.691749409495606
f_Woman_graduate,-0.9214736955667034,-0.8985744073178351,-0.9197332895291727,0.9973359575685241,0.9880218230675797,1.0,0.37833487628144585,0.27128469887892337,0.5980875260778833,0.08060355861723004,0.22521916650792842,0.602690424673658,0.11190616406627323,0.6897628455399462
Frequency_Saude,-0.41154994357358543,-0.44480116460956964,-0.34337056843570113,0.39668031412360644,0.4132034043129789,0.37833487628144585,1.0,0.417602782083224,0.11131273974020876,0.28976902107238606,0.18083971725547784,0.32098893964596276,0.41080570415659645,0.30969951202234025
f_Police_Office,-0.31651807646733987,-0.31058343697843266,-0.32089387606846254,0.2650223581014107,0.2555945223214429,0.27128469887892337,0.417602782083224,1.0,-0.004700546902728063,0.3913410924097527,0.2853771849624337,0.3359789464483171,-0.056100493195628744,0.18616630829225084
f_Bike_Lanes,-0.48440823653139825,-0.4661804534324625,-0.4938821882687121,0.5927181495193254,0.5848127094681134,0.5980875260778833,0.11131273974020876,-0.004700546902728063,1.0,-0.09945548088810195,0.07284311624452644,0.27726077011359757,0.09188266352963444,0.9529020872965303
f_Museums,-0.17948982487694906,-0.26580299985636163,-0.052264709855884786,0.10706920853638766,0.1355600252719882,0.08060355861723004,0.28976902107238606,0.3913410924097527,-0.09945548088810195,1.0,0.03626013801437354,0.22169645902325663,0.05497062220774851,0.10055720856228183
f_High_School,-0.327100756228601,-0.2928547527599128,-0.36348005461629285,0.23890574459509437,0.2536162264124058,0.22521916650792842,0.18083971725547784,0.2853771849624337,0.07284311624452644,0.03626013801437354,1.0,0.4390512995000528,0.32388454900604763,0.2117009410025105
f_Parks,-0.555458480401983,-0.5288708064086025,-0.5752719164316694,0.6139454694529033,0.6230960485457431,0.602690424673658,0.32098893964596276,0.3359789464483171,0.27726077011359757,0.22169645902325663,0.4390512995000528,1.0,0.1866377761633313,0.4752290366600509
f_College,-0.17191070841659845,-0.18694602287239975,-0.13737920190607159,0.1320547869807288,0.15518103865478536,0.11190616406627323,0.41080570415659645,-0.056100493195628744,0.09188266352963444,0.05497062220774851,0.32388454900604763,0.1866377761633313,1.0,0.23408674760768966
total_of_Infrastructures,-0.6044536736522893,-0.596109334008686,-0.5954773931267159,0.6919646576534393,0.691749409495606,0.6897628455399462,0.30969951202234025,0.18616630829225084,0.9529020872965303,0.10055720856228183,0.2117009410025105,0.4752290366600509,0.23408674760768966,1.0
