,FREGUESIA,Total_Unemployed,Man_Unemployed,Woman_Unemployed,f_Total_graduate,f_Man_graduate,f_Woman_graduate,Frequency_Saude,f_Police_Office,f_Bike_Lanes,f_Museums,f_High_School,f_Parks
0,Ajuda,15.54,17.71,13.46,16.45,15.42,17.27,2.0,0.0,8.0,0.0,0.0,8.0
1,Alcântara,11.39,12.71,10.18,26.94,26.86,27.0,4.0,6.0,11.0,2.0,2.0,4.0
2,Alvalade,9.52,9.9,9.17,42.99,45.33,41.3,4.0,2.0,49.0,3.0,2.0,9.0
3,Areeiro,9.58,10.81,8.43,44.11,46.0,42.7,0.0,2.0,41.0,0.0,1.0,9.0
4,Arroios,12.23,13.98,10.44,31.93,31.12,32.61,5.0,4.0,15.0,0.0,2.0,8.0
5,Avenidas Novas,9.16,9.75,8.6,49.3,52.62,46.8,5.0,2.0,124.0,3.0,1.0,8.0
6,Beato,16.57,18.42,14.7,17.51,16.88,18.05,0.0,0.0,1.0,0.0,0.0,1.0
7,Belém,8.42,8.95,7.9,47.28,49.82,45.32,1.0,5.0,18.0,9.0,2.0,19.0
8,Benfica,13.36,14.97,11.88,30.02,29.28,30.59,4.0,6.0,34.0,0.0,1.0,7.0
9,Campo de Ourique,10.73,11.61,9.94,34.15,35.06,33.5,2.0,3.0,1.0,2.0,2.0,4.0
10,Campolide,12.56,14.12,10.98,25.82,24.81,26.74,1.0,3.0,21.0,0.0,1.0,7.0
11,Carnide,12.39,14.54,10.33,36.48,35.7,37.14,1.0,5.0,51.0,0.0,1.0,4.0
12,Estrela,10.35,11.24,9.47,39.96,42.61,37.89,6.0,8.0,4.0,3.0,0.0,9.0
13,Lumiar,8.01,8.56,7.49,54.22,53.52,54.79,5.0,9.0,33.0,2.0,1.0,13.0
14,Marvila,16.72,19.39,14.09,9.67,8.42,10.76,2.0,3.0,26.0,1.0,1.0,8.0
15,Misericórdia,12.62,12.91,12.33,29.84,30.53,29.25,5.0,2.0,4.0,8.0,1.0,6.0
16,Olivais,12.84,14.62,11.04,22.37,21.37,23.19,0.0,0.0,22.0,0.0,0.0,0.0
17,Parque das Nações,8.33,8.34,8.31,52.82,52.2,53.39,1.0,3.0,108.0,1.0,0.0,8.0
18,Penha de França,13.09,14.92,11.32,23.08,22.33,23.66,2.0,4.0,1.0,1.0,0.0,0.0
19,Santa Clara,17.64,21.12,14.29,20.66,19.18,21.92,0.0,0.0,6.0,0.0,0.0,4.0
20,Santa Maria Maior,13.83,14.43,13.01,20.95,20.63,21.27,3.0,8.0,8.0,16.0,0.0,3.0
21,Santo António,10.37,10.72,10.03,41.31,42.2,40.62,6.0,2.0,34.0,4.0,0.0,7.0
22,São Domingos de Benfica,8.78,9.19,8.41,47.93,49.29,46.87,5.0,0.0,20.0,3.0,0.0,8.0
23,São Vincente,13.4,14.62,12.23,21.95,21.02,22.69,0.0,0.0,0.0,0.0,0.0,0.0
